external_id,glob_id,decision,note
GLOB_GAVOC_01807,GLOB2_1132,match,
GLOB_GAVOC_01813,GLOB2_E_247,match,
GLOB_GAVOC_01816,GLOB2_1236,match,
GLOB_GAVOC_01831,GLOB_798,reject,
GLOB_GAVOC_01832,GLOB_873,match,
GLOB_GAVOC_01845,GLOB2_1341,match,
GLOB_GAVOC_01849,GLOB_29,match,
GLOB_GAVOC_01853,GLOB_29,child,
GLOB_GAVOC_01854,GLOB_500,match,
GLOB_GAVOC_01861,GLOB2_E_88,reject,
GLOB_GAVOC_01863,GLOB_597,child,
GLOB_GAVOC_01867,GLOB_RT_228,match,
GLOB_GAVOC_01872,NR_85,match,
GLOB_GAVOC_01873,GLOB_NB_201,match,
GLOB_GAVOC_01875,GLOB_30,match,
GLOB_GAVOC_01876,GLOB_30,reject,
GLOB_GAVOC_01889,GLOB_501,reject,
GLOB_GAVOC_01899,GLOB_33,reject,
GLOB_GAVOC_01901,GLOB_33,match,
GLOB_GAVOC_01908,GLOB_33,reject,
GLOB_GAVOC_01927,GLOB_177,match,
GLOB_GAVOC_01927,GLOB_499,reject,
GLOB_GAVOC_01935,GLOB2_1050,reject,
GLOB_GAVOC_01935,GLOB2_1050_GEO_2,reject,
GLOB_GAVOC_01935,GLOB2_1050_HUM_1,reject,
GLOB_GAVOC_01938,GLOB_RT_15,match,
GLOB_GAVOC_01941,GLOB_RT_22,match,
GLOB_GAVOC_01943,GLOB_RT_133,match,
GLOB_GAVOC_01949,GLOB_RT_193,child,
GLOB_GAVOC_01952,GLOB_RT_247,match,
GLOB_GAVOC_01955,GLOB2_1865,match,
GLOB_GAVOC_01956,GLOB2_1050,reject,
GLOB_GAVOC_01956,GLOB2_1050_GEO_2,reject,
GLOB_GAVOC_01956,GLOB2_1050_HUM_1,reject,
GLOB_GAVOC_01956,GLOB2_1050_GEO_1,match,
GLOB_GAVOC_01961,GLOB_35,match,
GLOB_GAVOC_01968,GLOB_217,match,
GLOB_GAVOC_01972,GLOB_564,reject,
GLOB_GAVOC_01972,GLOB_564_GEO_2,match,
GLOB_GAVOC_01972,GLOB_564_GEO_1,reject,
GLOB_GAVOC_01983,GLOB_NB_105,match,
GLOB_GAVOC_01993,GLOB_779,match,
GLOB_GAVOC_02006,GLOB2_935,match,
GLOB_GAVOC_02015,GLOB_309,reject,
GLOB_GAVOC_02020,GLOB_594,match,
GLOB_GAVOC_02024,GLOB_841,reject,
GLOB_GAVOC_02032,GLOB_499,reject,
GLOB_GAVOC_02055,GLOB2_1372,child,
GLOB_GAVOC_02056,GLOB_731,child,
GLOB_GAVOC_02062,NR_28,reject,
GLOB_GAVOC_02065,GLOB_320,reject,
GLOB_GAVOC_02069,GLOB_E_23,child,
GLOB_GAVOC_02070,GLOB2_1659,child,
GLOB_GAVOC_02073,GLOB_880,match,REVIEW
GLOB_GAVOC_02073,GLOB2_1878,match,REVIEW
GLOB_GAVOC_02089,GLOB_490,match,
GLOB_GAVOC_02099,GLOB2_1827,reject,
GLOB_GAVOC_02101,GLOB_744,match,
GLOB_GAVOC_02106,GLOB2_1505,match,
GLOB_GAVOC_02117,GLOB_620,match,
GLOB_GAVOC_02119,NR_133,child,
GLOB_GAVOC_02120,GLOB_593,match,
GLOB_GAVOC_02130,GLOB2_1827,match,
GLOB_GAVOC_02135,GLOB_800,match,
GLOB_GAVOC_02135,GLOB2_E_15,reject,
GLOB_GAVOC_02141,GLOB_178,match,
GLOB_GAVOC_02149,GLOB_RT_90,match,
GLOB_GAVOC_02150,GLOB_162,match,
GLOB_GAVOC_02161,GLOB_577,match,
GLOB_GAVOC_02165,GLOB2_1764,match,
GLOB_GAVOC_02174,GLOB_RT_7,match,REVIEW DUPL?
GLOB_GAVOC_02174,GLOB_RT_88,match,
GLOB_GAVOC_02183,GLOB_NB_142,match,
GLOB_GAVOC_02185,GLOB_593,child,
GLOB_GAVOC_02195,GLOB_593,match,
GLOB_GAVOC_02201,GLOB_NB_160,match,
GLOB_GAVOC_02209,GLOB2_1603,child,
GLOB_GAVOC_02210,GLOB2_1603,match,
GLOB_GAVOC_02211,GLOB_36,match,
GLOB_GAVOC_02213,GLOB2_E_182,match,
GLOB_GAVOC_02219,GLOB_878_HUM_2,reject,
GLOB_GAVOC_02219,GLOB_878_HUM_1,match,
GLOB_GAVOC_02219,GLOB_878,reject,
GLOB_GAVOC_02233,NR_13,reject,
GLOB_GAVOC_02236,GLOB2_1862_GEO_1,match,
GLOB_GAVOC_02236,GLOB2_1862,reject,
GLOB_GAVOC_02236,GLOB2_1862_GEO_2,reject,
GLOB_GAVOC_02237,GLOB_491,match,
GLOB_GAVOC_02271,GLOB2_1464,match,
GLOB_GAVOC_02276,GLOB_172,match,
GLOB_GAVOC_02283,GLOB2_1478,match,
GLOB_GAVOC_02284,GLOB_633,match,
GLOB_GAVOC_02286,GLOB_156,match,
GLOB_GAVOC_02287,GLOB2_E_260,match,
GLOB_GAVOC_02299,GLOB_135_GEO_1,match,
GLOB_GAVOC_02305,GLOB_629,match,
GLOB_GAVOC_02305,GLOB_905,reject,
GLOB_GAVOC_02305,GLOB_905_GEO_1,reject,
GLOB_GAVOC_02305,GLOB_905_HUM_1,reject,
GLOB_GAVOC_02310,GLOB2_1029,match,
GLOB_GAVOC_02313,GLOB_799,reject,
GLOB_GAVOC_02314,GLOB2_1458,reject,
GLOB_GAVOC_02350,GLOB2_E_109,match,
GLOB_GAVOC_02360,GLOB_599,reject,
GLOB_GAVOC_02360,GLOB_599_HUM_1,match,
GLOB_GAVOC_02360,GLOB_599_HUM_2,reject,
GLOB_GAVOC_02362,GLOB_43,reject,
GLOB_GAVOC_02387,GLOB_38,match,
GLOB_GAVOC_02389,GLOB_38,child,
GLOB_GAVOC_02400,GLOB_NB_108,match,
GLOB_GAVOC_02404,GLOB_273,match,
GLOB_GAVOC_02406,GLOB_299,match,
GLOB_GAVOC_02414,GLOB_806,match,
GLOB_GAVOC_02428,GLOB_NB_64,match,
GLOB_GAVOC_02429,NR_78,match,
GLOB_GAVOC_02443,GLOB2_1416,match,
GLOB_GAVOC_02450,GLOB2_1597,reject,
GLOB_GAVOC_02450,GLOB2_1597_GEO_1,reject,
GLOB_GAVOC_02450,GLOB2_1597_HUM_1,reject,
GLOB_GAVOC_02450,GLOB2_1597_HUM_2,reject,
GLOB_GAVOC_02455,GLOB_877,match,
GLOB_GAVOC_02461,GLOB_877A,match,
GLOB_GAVOC_02461,GLOB_877,reject,
GLOB_GAVOC_02461,GLOB_877B,reject,
GLOB_GAVOC_02475,GLOB_489,child,
GLOB_GAVOC_02477,GLOB_E_6,child,
GLOB_GAVOC_02486,GLOB2_1712,match,
GLOB_GAVOC_02502,GLOB2_1475_HUM_1,match,
GLOB_GAVOC_02502,GLOB2_1475,reject,
GLOB_GAVOC_02503,GLOB2_1653,match,
GLOB_GAVOC_05849,GLOB_454,match,
GLOB_GAVOC_02504,GLOB2_1475,reject,
GLOB_GAVOC_02504,GLOB2_1475_HUM_1,match,
GLOB_GAVOC_02505,GLOB_40,reject,
GLOB_GAVOC_02507,GLOB_548,match,
GLOB_GAVOC_02508,GLOB_BN_14,match,
GLOB_GAVOC_02515,GLOB2_1880,match,
GLOB_GAVOC_02521,GLOB_40,match,
GLOB_GAVOC_02556,GLOB_E_7_HUM_2,match,
GLOB_GAVOC_02557,GLOB_567,match,
GLOB_GAVOC_02559,GLOB_599_HUM_2,reject,
GLOB_GAVOC_02559,GLOB_599_HUM_1,match,
GLOB_GAVOC_02559,GLOB_599_GEO_1,reject,
GLOB_GAVOC_02559,GLOB_599,reject,
GLOB_GAVOC_02568,GLOB_NB_132,reject,
GLOB_GAVOC_02579,GLOB_566,match,
GLOB_GAVOC_02586,GLOB_489,match,
GLOB_GAVOC_02587,GLOB_489,match,
GLOB_GAVOC_02588,GLOB_489,match,
GLOB_GAVOC_02593,NR_28,match,
GLOB_GAVOC_02595,NR_28,reject,
GLOB_GAVOC_02603,GLOB_312,match,
GLOB_GAVOC_02607,GLOB_43,match,
GLOB_GAVOC_02610,GLOB_43,child,
GLOB_GAVOC_02622,GLOB2_1050_GEO_2,match,
GLOB_GAVOC_02624,GLOB2_1050_HUM_1,match,
GLOB_GAVOC_02624,GLOB2_1050_GEO_2,reject,
GLOB_GAVOC_02624,GLOB2_1050,reject,
GLOB_GAVOC_02644,GLOB2_1403,match,
