glob_id,external_id,similarity_score,method,overlap
GLOB_793_HUM_2,GLOB_GAVOC_00916,94.11764705882352,1,False
GLOB_793_HUM_3,GLOB_GAVOC_00916,94.11764705882352,1,False
GLOB_127,GLOB_GAVOC_00920,94.73684210526316,1,False
GLOB_13,GLOB_GAVOC_00922,100.0,1,False
GLOB2_1278,GLOB_GAVOC_00933,100.0,1,False
GLOB_296,GLOB_GAVOC_00937,100.0,1,False
GLOB2_894,GLOB_GAVOC_00939,100.0,1,False
GLOB_535,GLOB_GAVOC_00939,85.71428571428572,1,False
GLOB_14,GLOB_GAVOC_00953,100.0,1,False
GLOB_14,GLOB_GAVOC_00956,100.0,1,False
GLOB2_1656,GLOB_GAVOC_00961,84.21052631578947,1,True
GLOB_223,GLOB_GAVOC_00964,92.3076923076923,1,False
GLOB2_1881,GLOB_GAVOC_00992,100.0,1,False
GLOB2_998,GLOB_GAVOC_00996,85.71428571428572,1,False
GLOB2_1063,GLOB_GAVOC_01014,100.0,1,False
GLOB2_1429,GLOB_GAVOC_01021,100.0,1,False
GLOB_357,GLOB_GAVOC_01022,82.35294117647058,1,False
GLOB_357_HUM_1,GLOB_GAVOC_01022,82.35294117647058,1,False
GLOB_357_HUM_2,GLOB_GAVOC_01022,82.35294117647058,1,False
GLOB2_1201,GLOB_GAVOC_01045,92.3076923076923,1,False
GLOB_77,GLOB_GAVOC_01045,100.0,1,False
GLOB_503,GLOB_GAVOC_01047,100.0,1,False
GLOB_503,GLOB_GAVOC_01054,100.0,1,False
GLOB_908,GLOB_GAVOC_01058,83.33333333333334,1,False
GLOB_E_46,GLOB_GAVOC_01058,92.3076923076923,1,False
GLOB_908,GLOB_GAVOC_01060,83.33333333333334,1,False
GLOB_E_46,GLOB_GAVOC_01060,100.0,1,False
GLOB_552,GLOB_GAVOC_01075,100.0,1,False
GLOB_693,GLOB_GAVOC_01075,100.0,1,False
GLOB_876,GLOB_GAVOC_01078,100.0,1,False
GLOB_876_HUM_1,GLOB_GAVOC_01078,100.0,1,False
GLOB_876_HUM_2,GLOB_GAVOC_01078,100.0,1,False
GLOB_593,GLOB_GAVOC_01095,100.0,1,False
GLOB2_907,GLOB_GAVOC_01126,100.0,1,False
GLOB_502,GLOB_GAVOC_01143,100.0,1,False
GLOB_18,GLOB_GAVOC_01147,100.0,1,False
GLOB_165,GLOB_GAVOC_01148,94.11764705882352,1,False
GLOB2_907,GLOB_GAVOC_01149,100.0,1,False
GLOB_19,GLOB_GAVOC_01152,100.0,1,False
GLOB2_E_34,GLOB_GAVOC_01160,100.0,1,True
GLOB_RT_200,GLOB_GAVOC_01177,100.0,1,True
GLOB_RT_34,GLOB_GAVOC_01185,100.0,1,False
GLOB_479,GLOB_GAVOC_01192,100.0,1,False
GLOB_839,GLOB_GAVOC_01192,88.88888888888889,1,False
GLOB2_1429,GLOB_GAVOC_01207,100.0,1,False
GLOB_640,GLOB_GAVOC_01208,83.33333333333334,1,False
GLOB_RT_166,GLOB_GAVOC_01273,83.33333333333334,1,False
GLOB2_1901,GLOB_GAVOC_01274,88.88888888888889,1,False
GLOB2_1577,GLOB_GAVOC_01298,86.95652173913044,1,False
GLOB2_914,GLOB_GAVOC_01298,100.0,1,False
GLOB2_E_240,GLOB_GAVOC_01298,100.0,1,False
GLOB_483,GLOB_GAVOC_01300,90.0,1,False
GLOB_RT_149,GLOB_GAVOC_01314,90.9090909090909,1,True
