external_id,pref_label,label,longitude,latitude,point_coord,coord_source,coord_source_page,coord_remarks,place_type,pp_uri,pp_type_label,attestation_id
GLOB_GAVOC_84130,Ivoron,Ivoron,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,region,https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894,regions,4130
GLOB_GAVOC_84132,Jabas,Jabas,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,-,-,-,4132
GLOB_GAVOC_84133,Jabbajatoe,Jabbajatoe,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,-,-,-,4133
GLOB_GAVOC_84134,Jacamaroh Riv.,Jacamaroh Riv.,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,river,https://digitaalerfgoed.poolparty.biz/globalise/cf7cc49f-738b-48b0-80a7-476244ba4919,rivers,4134
GLOB_GAVOC_84139,Jacauil,Jacauil,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4139
GLOB_GAVOC_84140,Jacobs Riv.,Jacobs Riv.,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,river,https://digitaalerfgoed.poolparty.biz/globalise/cf7cc49f-738b-48b0-80a7-476244ba4919,rivers,4140
GLOB_GAVOC_84142,Jadany,Jadany,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4142
GLOB_GAVOC_84150,Jaffenapatna,Jaffenapatna,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,-,-,-,4150
GLOB_GAVOC_84153,Jagernaat,Jagernaat,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,-,-,-,4153
GLOB_GAVOC_84154,Jagers Eyd.,Jagers Eyd.,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,island,https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,islands,4154
GLOB_GAVOC_84158,"Jagers Veld, t","Jagers Veld, t",-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,region,https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894,regions,4158
